"","Name","FeatureType","TownFlowType","SHAPESTLength"
"165","Folkner Branch","STREAM","perennial",1580.06173509839
"166","Rocky Ford Branch","STREAM","intermittent",2315.6628153903
"167","Northeast Creek","STREAM","perennial",3008.1824094928
"168","Kit Creek","STREAM","intermittent",2156.52480408846
"169","Kit Creek","STREAM","perennial",1076.8275483767
"170","Kit Creek","STREAM","perennial",658.997334296327
"171","Kit Creek","STREAM","perennial",2050.06719432097
"172","Kit Creek","STREAM","perennial",3192.6788775655
"173","Northeast Creek","STREAM","perennial",605.643755975409
"174","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4147.97539382417
"175","Kit Creek","STREAM","perennial",333.947590572857
"176","Kit Creek","STREAM","perennial",3385.57938772779
"177","Stillhouse Bottom","CULVERT","perennial",123.000862358771
"178","Fan Branch","STREAM","perennial",253.728108349268
"179","University Lake","LAKE FLOWLINE","N/A",171.879700727943
"180","Pritchard Branch","STREAM","perennial",226.976919372654
"181","University Lake","LAKE FLOWLINE","N/A",343.963673024893
"182","Neville Creek","STREAM","intermittent",2208.35719368535
"183","Pritchard Branch","STREAM","perennial",116.305866696788
"184","B Everett Jordan Lake","LAKE FLOWLINE","N/A",4673.87125037375
"185","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2210.86664112168
"186","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2251.6862302897
"187","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2602.74833343533
"188","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1235.25511233019
"189","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1065.40456116722
"190","B Everett Jordan Lake","LAKE FLOWLINE","N/A",229.654068283746
"191","B Everett Jordan Lake","LAKE FLOWLINE","N/A",317.823132314082
"192","B Everett Jordan Lake","LAKE FLOWLINE","N/A",533.396946704763
"193","B Everett Jordan Lake","LAKE FLOWLINE","N/A",441.039647637966
"194","B Everett Jordan Lake","LAKE FLOWLINE","N/A",659.489407792136
"195","B Everett Jordan Lake","LAKE FLOWLINE","N/A",282.869747984204
"196","B Everett Jordan Lake","LAKE FLOWLINE","N/A",605.777487750685
"197","B Everett Jordan Lake","LAKE FLOWLINE","N/A",940.732378171771
"198","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2293.63945128707
"199","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1039.26940264365
"200","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2109.79538443458
"201","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1508.11222038851
"202","B Everett Jordan Lake","LAKE FLOWLINE","N/A",236.986034225049
"203","B Everett Jordan Lake","LAKE FLOWLINE","N/A",386.3129834926
"204","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1442.69393010494
"205","B Everett Jordan Lake","LAKE FLOWLINE","N/A",278.691418945435
"206","B Everett Jordan Lake","LAKE FLOWLINE","N/A",1798.54121907069
"207","B Everett Jordan Lake","LAKE FLOWLINE","N/A",2197.06300949164
